tema,palabra,path_imagen
animales,el ciervo,imagenes/animales/el ciervo.png
animales,el cocodrilo,imagenes/animales/el cocodrilo.png
animales,el loro,imagenes/animales/el loro.png
animales,el mono,imagenes/animales/el mono.png
animales,el pato,imagenes/animales/el pato.png
animales,el perro,imagenes/animales/el perro.png
animales,la mariposa,imagenes/animales/la mariposa.png
animales,la rana,imagenes/animales/la rana.png
furta,fresa,imagenes/furta/fresa.png
furta,limón,imagenes/furta/limón.png
furta,manzana,imagenes/furta/manzana.png
furta,mora,imagenes/furta/mora.png
furta,naranja,imagenes/furta/naranja.png
furta,patilla,imagenes/furta/patilla.png
furta,pera,imagenes/furta/pera.png
furta,piña,imagenes/furta/piña.png
furta,uva,imagenes/furta/uva.png
ropa,el abrigo,imagenes/ropa/el abrigo.png
ropa,el gorro,imagenes/ropa/el gorro.png
ropa,el impermeable,imagenes/ropa/el impermeable.png
ropa,el pantalón,imagenes/ropa/el pantalón.png
ropa,el short,imagenes/ropa/el short.png
ropa,el sombrero,imagenes/ropa/el sombrero.png
ropa,el sueter,imagenes/ropa/el sueter.png
ropa,el traje de baño,imagenes/ropa/el traje de baño.png
ropa,la bufanda,imagenes/ropa/la bufanda.png
ropa,las botas de invierno,imagenes/ropa/las botas de invierno.png
ropa,las botas,imagenes/ropa/las botas.png
ropa,las orejeras,imagenes/ropa/las orejeras.png
